fid	year	quarter	date_receipt	s40	code_period	code_present_place
62789	2019	1	2019-04-25	102863	21	214
64286	2019	1	2019-07-02	0	21	214
65913	2019	1	2019-04-12	0	21	214
66761	2019	1	2019-04-16	0	21	214
66945	2019	1	2019-06-10	60853	21	214
73899	2019	1	2019-04-18	0	21	214
73993	2019	1	2019-04-15	0	21	214
82658	2019	1	2019-04-24	0	21	214
88606	2019	1	2019-04-24	0	21	214
97766	2019	1	2019-04-25	8271426	21	214
103885	2019	1	2019-10-23	593807	21	214
105307	2019	1	2019-04-25	0	21	214
115104	2019	1	2019-04-25	0	21	214
122173	2019	1	2019-12-05	0	21	214
123568	2019	1	2019-04-08	0	21	214
131642	2019	1	2019-04-24	984891	21	214
145500	2019	1	2019-04-23	5861	21	214
155093	2019	1	2019-04-24	0	21	214
160697	2019	1	2019-04-01	0	21	214
177799	2019	1	2019-04-21	0	21	214
185274	2019	1	2019-04-08	0	21	214
192761	2019	1	2019-04-25	224607	21	214
194131	2019	1	2019-04-24	160870	21	214
197308	2019	1	2019-04-09	0	21	214
10003	2019	1	2019-07-13	34558	21	214
24498	2019	1	2019-04-08	0	21	214
29211	2019	1	2019-04-22	0	21	214
34742	2019	1	2019-04-19	200	21	214
34994	2019	1	2019-04-19	119030	21	214
35698	2019	1	2019-08-01	14870	21	214
68121	2019	1	2019-04-22	3479085	21	214
70286	2019	1	2019-10-28	2851	21	214
87205	2019	1	2019-04-07	0	21	214
87244	2019	1	2019-04-23	814400	21	214
92372	2019	1	2019-06-25	0	21	231
93673	2019	1	2019-04-25	19249	21	214
98755	2019	1	2019-04-24	0	21	214
105658	2019	1	2019-04-24	19959	21	214
105891	2019	1	2019-04-24	2006536	21	214
117644	2019	1	2019-04-22	4567	21	214
119764	2019	1	2020-11-11	83211	21	214
127356	2019	1	2019-04-18	147	21	214
128885	2019	1	2019-10-18	234861	21	214
128966	2019	1	2019-07-05	0	21	214
135902	2019	1	2019-05-29	0	21	214
139202	2019	1	2019-04-15	0	21	214
142296	2019	1	2019-12-06	150436	21	214
155175	2019	1	2019-04-24	0	21	214
155853	2019	1	2019-04-15	0	21	214
156736	2019	1	2019-04-24	33199	21	214
165012	2019	1	2019-04-28	0	21	214
168268	2019	1	2019-06-03	0	21	231
176244	2019	1	2019-04-22	0	21	214
182392	2019	1	2019-04-24	0	21	214
185672	2019	1	2020-03-31	441886	21	214
190237	2019	1	2019-04-22	175059	21	214
190592	2019	1	2019-04-16	0	21	214
196525	2019	1	2019-04-02	0	21	214
8598	2019	1	2019-04-21	0	21	214
12365	2019	1	2019-04-25	16267	21	214
15343	2019	1	2020-02-12	0	21	214
15548	2019	1	2019-04-11	0	21	214
20450	2019	1	2019-08-19	25380	21	214
33531	2019	1	2019-04-25	41972	21	214
40776	2019	1	2020-05-20	51710627	21	214
48761	2019	1	2019-04-01	0	21	214
53860	2019	1	2020-01-09	0	21	214
67790	2019	1	2019-04-11	5593	21	214
76274	2019	1	2019-04-24	325477	21	214
76316	2019	1	2019-04-22	0	21	214
92069	2019	1	2019-05-23	11980220	21	214
95685	2019	1	2019-04-22	0	21	214
100685	2019	1	2019-04-23	0	21	214
105051	2019	1	2019-04-25	1172172	21	214
108493	2019	1	2019-04-17	0	21	214
114067	2019	1	2019-04-10	0	21	214
120053	2019	1	2019-04-24	8950	21	214
120153	2019	1	2019-04-23	506648	21	214
